Estimator,Depth,R score
1,8,0.6582475505118428
2,10,0.7207461556914461
3,12,0.7417835489035914
4,12,0.7569458895960489
5,13,0.7596820588506701
6,16,0.7678649736940553
7,16,0.7762338101265938
8,16,0.7802740469870602
9,16,0.7823351422035836
10,16,0.7839662927472804
11,16,0.7851774582650983
12,16,0.7851205554069474
13,17,0.7871341682577784
14,17,0.7894393478010389
15,16,0.7903840512279643
16,16,0.7918040747659565
17,17,0.7915305485310435
18,17,0.7907148180289421
19,17,0.7917311733363699
20,17,0.7924520266906908
21,31,0.7932925338755337
22,31,0.7939691808265544
23,25,0.7939642851471638
24,31,0.7949132615346759
25,31,0.7947797510111602
26,25,0.7949449813833867
27,25,0.7951456982544972
28,25,0.7957545030081405
29,25,0.7956931304446574
30,23,0.7964163931853678
31,23,0.7967265659900711
32,23,0.7969322326696214
33,23,0.7974710725933893
34,23,0.798163911822823
35,23,0.7979085167713106
36,23,0.7983708867798842
37,23,0.7988733894650435
38,23,0.7986443276301053
39,23,0.7990894889586015
40,23,0.7990019379703358
41,23,0.7991816012184118
42,23,0.799074905999677
43,23,0.799436968315616
44,23,0.7998464914464389
45,23,0.7999317312906468
46,23,0.7999411342174207
47,23,0.8000006943643981
48,23,0.8003652345613195
49,23,0.8004588884838906
50,23,0.8004545873045031
51,23,0.8002355552422777
52,23,0.8001845998084446
53,23,0.8002753665844504
54,23,0.8004779021898836
55,23,0.8004950577259351
56,23,0.8004323441405992
57,23,0.8003723049746991
58,23,0.8003871992977667
59,23,0.8001666697019445
60,23,0.8003572745232588
61,23,0.8004164788421929
62,23,0.8004515684283384
63,23,0.8003491814341268
64,23,0.8003736488995933
65,23,0.8003665703535584
66,26,0.8003228475063195
67,23,0.800130244515882
68,23,0.8000176946907177
69,23,0.8002067725027497
70,23,0.8003021874546759
71,23,0.8003465452416036
72,23,0.8004760279293455
73,23,0.8004854127928941
74,23,0.8009146636365433
75,23,0.8009073545478855
76,23,0.8009793950750546
77,23,0.8006944135119003
78,23,0.8007846531074296
79,23,0.8008651015697044
80,23,0.8010109710381793
81,23,0.8011069544093059
82,23,0.8010179517284468
83,23,0.8011909874227986
84,23,0.8010707079741908
85,23,0.801084897963998
86,23,0.8013498579291194
87,23,0.8013910036447849
88,23,0.8014026499301758
89,23,0.8015178260955262
90,23,0.8014913046728243
91,23,0.8014202476307966
92,23,0.8013643418814468
93,23,0.8014188028929479
94,26,0.8013672607799092
95,26,0.8016144272318831
96,26,0.8017850200425873
97,26,0.8019398741212123
98,23,0.8016688531529182
99,26,0.8016640763224289
100,32,0.8018501399463509
101,26,0.8019136479913804
102,32,0.8017413656121253
103,26,0.8018011189529173
104,26,0.8016962859285103
105,26,0.8016435023026813
106,29,0.8015550954831439
107,23,0.8016053936428522
108,29,0.801650730293951
109,29,0.8016979734579195
110,29,0.8017643886425988
111,29,0.8018336160379063
112,29,0.8019166347759727
113,32,0.8019197449282378
114,32,0.8018259346685075
115,32,0.801875089739378
116,32,0.8018801043369302
117,32,0.8019813664890314
118,32,0.8018413255790967
119,32,0.8019458096119567
120,32,0.802017541928613
121,32,0.8022908176356154
122,32,0.802251641007596
123,32,0.80238501737713
124,32,0.8023651252161201
125,32,0.8023891451653345
126,32,0.8022377593381741
127,32,0.8022002886761321
128,32,0.8022825430976982
129,32,0.8022982615385632
130,32,0.8023784268563061
131,32,0.8024209833109779
132,32,0.8024313384642605
133,32,0.8024435947868221
134,32,0.8024778350764632
135,32,0.8024164988840201
136,32,0.8025229023899222
137,32,0.8025455486655305
138,32,0.8026877027989638
139,32,0.8026303375949987
140,32,0.8026729895960681
141,32,0.8026822926758798
142,32,0.8027408655186766
143,32,0.802800065224619
144,32,0.8028150484700087
145,32,0.8028951979034296
146,32,0.802777843543401
147,32,0.8027599006842283
148,32,0.8027764744919264
149,32,0.8029038106898332
150,31,0.8028428442498994
151,31,0.8027754188916933
152,29,0.8027794225377736
153,29,0.8028090724344482
154,31,0.8028759426108072
155,31,0.8029358014818095
156,31,0.803007137887816
157,31,0.8030139140939229
158,31,0.8030282665292745
159,29,0.8030059706864365
160,29,0.8030173722381264
161,29,0.8030151222242279
162,32,0.8029810378656145
163,32,0.8029857038342193
164,29,0.8029968440013754
165,29,0.8030423017111941
166,32,0.8030129779677377
167,23,0.8030599982110302
168,23,0.8029219945032807
169,23,0.8030246534326965
170,23,0.8030720043835491
171,23,0.8029824123317222
172,31,0.802960069815666
173,31,0.8028940224998091
174,31,0.8029738526161682
175,37,0.8030522643638263
176,37,0.8029743873469388
177,23,0.8031403339726261
178,37,0.8030389687016013
179,37,0.8030930968353689
180,37,0.8030734866176695
181,37,0.8030800496505648
182,23,0.8030789197401004
183,23,0.8030741859245818
184,37,0.8030720420544963
185,23,0.80312347418441
186,37,0.8031496524659982
187,37,0.8032757579597077
188,37,0.8032197533851652
189,23,0.8031954952300205
190,37,0.8032127162791705
191,23,0.8032200035723994
192,23,0.8032694857420084
193,29,0.8033596388728224
194,23,0.8033911637669385
195,23,0.8034146779172999
196,21,0.8032955846080654
197,23,0.8033188384833173
198,21,0.8032853152827384
199,23,0.8033129505644669
200,21,0.8033564140490457
